job_id,company,role,source_url,status,fit_score,draft_ready,review_pass,submitted,follow_up_due_at,follow_up_status,follow_up_stage,last_contact_at,next_follow_up_at,contact_person,follow_up_channel,value_asset_shared,jd_keywords_used,proof_point_used,notes,updated_at
gusto-head-of-gtm-process-tooling-sf-2026-02-20,Gusto,Head of GTM Process & Tooling,https://www.linkedin.com/jobs/view/head-of-gtm-process-tooling-at-gusto-4366052666,submitted,89,true,true,true,,scheduled,f1,,2026-02-27,,linkedin,,,,Submitted on 2026-02-20; first follow-up scheduled,2026-02-20
intuit-content-ops-quality-specialist-sf-2026-02-20,Intuit,Content Operations & Quality Specialist,https://jobs.intuit.com/job/san-francisco/content-operations-and-quality-specialist/27595/91416965952,submitted,87,true,true,true,,scheduled,f1,,2026-02-27,,linkedin,,,,Submitted on 2026-02-20; first follow-up scheduled,2026-02-20
foxglove-technical-product-marketing-manager-sf-2026-02-20,Foxglove,Technical Product Marketing Manager,https://www.builtinsf.com/job/technical-product-marketing-manager/8217949,submitted,84,true,true,true,,scheduled,f1,,2026-02-27,,linkedin,,,,Submitted on 2026-02-20; first follow-up scheduled,2026-02-20
salesforce-tech-product-marketing-sr-analyst-sf-2026-02-20,Salesforce,Technical Product Marketing Sr Analyst,https://careers.salesforce.com/en/jobs/jr328365/technical-product-marketing-sr-analyst-developer-services/,submitted,82,true,true,true,,scheduled,f1,,2026-02-27,,linkedin,,,,Submitted on 2026-02-20; first follow-up scheduled,2026-02-20
weavegrid-head-of-gtm-sf-2026-02-20,WeaveGrid,Head of Go-to-Market (GTM),https://www.linkedin.com/jobs/view/head-of-go-to-market-gtm-at-weavegrid-4319927484,reviewed,78,true,true,false,,,,,,,,,,,Packet complete and reviewed,2026-02-20
uber-marketing-technology-manager-data-solutions-sf-2026-02-20,Uber,Marketing Technology Manager I - Data Solutions,https://www.uber.com/global/en/careers/list/155366/,shortlisted,73,false,false,false,,,,,,,,,,,Medium fit due to potential data-depth requirement,2026-02-20
lambda-head-of-gtm-technology-sf-2026-02-20,Lambda,Head of GTM Technology,https://www.linkedin.com/jobs/view/head-of-gtm-technology-at-lambda-4355295929,shortlisted,70,false,false,false,,,,,,,,,,,"Medium fit, likely stretch on enterprise GTM tech depth",2026-02-20
openai-head-of-sales-enablement-sf-2026-02-20,OpenAI,Head of Sales Enablement,https://openai.com/careers/head-of-sales-enablement-san-francisco/,shortlisted,61,false,false,false,,,,,,,,,,,Stretch role; years and sales-enablement depth likely gap,2026-02-20
a16z-speedrun-social-media-contractor-2025-09-12,a16z speedrun,Social Media Contractor,,rejected,,false,false,true,,closed,closed,,,,,,,,,2026-02-20
sf-compute-compute-partnerships-manager-2025-10-02,SF Compute,Compute Partnerships Manager,,rejected,,false,false,true,,closed,closed,,,,linkedin,,,,"Messaged Kasra on LinkedIn | Did not follow up, position closed",2026-02-20
together-ai-staff-brand-and-content-marketing-manager-2025-10-20,Together AI,Staff Brand and Content Marketing Manager,,applied,,false,false,true,2025-10-28,scheduled,f1,,,,linkedin,,,,Messaged Boris on LinkedIn,2026-02-20
sf-compute-gtm-generalist-2025-10-20,SF Compute,GTM Generalist,,rejected,,false,false,true,2025-10-28,closed,closed,,2025-12-04,,linkedin,,,,Messaged Evan and commented on LinkedIn | Interview on October 28th; did not make it past first interview but they said they would keep me in mind for other roles | Re-applied - see new entry for this role below,2026-02-20
ashlin-pharmaceuticals-chief-of-staff-2025-10-22,Ashlin Pharmaceuticals,Chief of Staff,,applied,,false,false,true,2025-10-28,scheduled,f1,,,,email,,,,Sent email to Huiyi and commented on twitter | Emailed Hiuyu,2026-02-20
prime-intellect-founding-gtm-lead-2025-10-22,Prime Intellect,Founding GTM Lead,,applied,,false,false,true,2025-10-28,scheduled,f1,,,,recruiter,,,,Sent message on Twitter mentioning Waylon | Messaged Vincent on Twitter,2026-02-20
prime-intellect-head-of-growth-2025-10-22,Prime Intellect,Head of Growth,,applied,,false,false,true,2025-10-28,scheduled,f1,,,,recruiter,,,,Sent message on Twitter mentioning Waylon; accidentally sent the resume I made for Founding GTM Lead lol | Messaged Vincent on Twitter,2026-02-20
e2b-brand-designer-2025-10-22,e2b,Brand Designer,,applied,,false,false,true,2025-10-28,scheduled,f1,,,,recruiter,,,,Messaged Vasek on Twitter | Messaged Vasek on Twitter,2026-02-20
waymo-social-media-lead-2025-10-30,Waymo,Social Media Lead,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged Eric Holland and Priscilla Storm on LinkedIn; Sent love letter cover letter lol,2026-02-20
compute-exchange-and-silicon-data-silicon-data-2025-10-30,Compute Exchange and Silicon Data,Silicon Data,,applying,,false,false,true,2025-12-01,scheduled,f1,,,,linkedin,,,,Messaged Carmen Li on LinkedIn | Emailed Carmen Li,2026-02-20
exa-growth-marketing-2025-10-31,Exa,Growth Marketing,,applied,,false,false,true,2025-11-04,scheduled,f2,2026-01-29,2025-12-04,,linkedin,,,,"Messaged Jeffrey Wang on Twitter and LinkedIn; messaged Gavin Smith and Felicia Tang on LinkedIn | Replied to https://www.linkedin.com/in/wangzjeff?miniProfileUrn=urn%3Ali%3Afsd_profile%3AACoAABf9ZMgBijgFlJAmSR4KU1jE1QoX8gwZoaY’s post on LinkedIn and messaged him again; emailed him on November 5th and he replied. On November 6th, I followed up and sent him my LinkedIn/Portfolio | Emailed Jeffrey Wang to ask if he wants to get coffee when I’m in town | Emailed Jeffrey Wang to offer coffee one last time",2026-02-20
openai-compute-business-operations-lead-2025-11-03,OpenAI,Compute Business Operations Lead,,applied,,false,false,true,,,none,,,,,,,,,2026-02-20
notiva-marketing-manager-2025-11-03,Notiva,Marketing Manager,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged https://www.linkedin.com/in/junyuhuang?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABXhOfQBgeTBaq5p3RJu6gOCgI2LoLv289w on LinkedIn,2026-02-20
lmarena-lead-brand-designer-2025-11-03,LMArena,Lead Brand Designer,,applied,,false,false,true,,,none,,,,linkedin,,,,Messaged https://www.linkedin.com/in/wei-lin-chiang-51b025b2?miniProfileUrn=urn%3Ali%3Afs_miniProfile%3AACoAABfaJqcBlYUgaTP3_o5uajBH4d-PGDdeqNc on LinkedIn,2026-02-20
alchemy-gtm-sales-enablement-manager-2025-11-03,Alchemy,GTM Sales Enablement Manager,,rejected,,false,false,true,2025-11-11,closed,closed,,2025-11-12,,linkedin,,,,"Messaged https://www.linkedin.com/in/ACoAAA4mXIoB0xUmvU8xaYPF3RAFpRLi5yz7mXA on LinkedIn | Tracey Kim reached out to me on November 5th to schedule an interview; I scheduled for November 10th; it was moved to November 11th. I think it went okay, I sent a follow-up email same-day with some more information on questions that I felt I fell short on. | I did not get this job but they want to keep my resume for other roles",2026-02-20
